,unemployment_rate,fed_rate,indpro,gs10,usrec,sp500_close,inflation_yoy,sp500_log_return,log_indpro
1991-01-01,6.4,6.91,61.1355,8.09,1.0,343.92999267578125,5.647058823529405,4.067902429874777,4.113092712183793
1991-02-01,6.6,6.25,60.6838,7.85,1.0,367.07000732421875,5.312500000000009,6.511445851577625,4.105676776118765
1991-03-01,6.8,6.12,60.3346,8.11,1.0,375.2200012207031,4.821150855365497,2.195993835391806,4.099905736852473
1991-04-01,6.7,5.91,60.4938,8.04,0.0,375.3399963378906,4.809930178432875,0.03197482375830989,4.102540880446586
1991-05-01,6.9,5.78,61.0633,8.07,0.0,389.8299865722656,5.034856700232382,3.7878440105439655,4.111911031047784
1991-06-01,6.9,5.9,61.5581,8.28,0.0,371.1600036621094,4.695919938414161,-4.907746586014916,4.1199814442968385
1991-07-01,6.8,5.82,61.7305,8.27,0.0,387.80999755859375,4.367816091954024,4.388227631696101,4.122778136162407
1991-08-01,6.9,5.66,61.7298,7.9,0.0,395.42999267578125,3.7993920972644313,1.9458239201722227,4.122766796484794
1991-09-01,6.9,5.45,62.2195,7.65,0.0,387.8599853515625,3.396226415094339,-1.9329349869559536,4.1306684554359165
1991-10-01,7.0,5.21,62.1855,7.53,0.0,392.45001220703125,2.8485757121439192,1.1764759676739434,4.130121853597622
1991-11-01,7.0,4.81,62.0871,7.42,0.0,375.2200012207031,3.0665669409125185,-4.489664780873656,4.128538237892079
1991-12-01,7.3,4.43,61.7852,7.09,0.0,417.0899963378906,2.980625931445613,10.578949320065524,4.123663853582556
1992-01-01,7.3,4.03,61.4616,7.03,0.0,408.7799987792969,2.672605790645899,-2.0124906041998383,4.118412589555801
1992-02-01,7.4,4.06,61.8955,7.34,0.0,412.70001220703125,2.8189910979228294,0.9543855309576457,4.125447479148091
1992-03-01,7.4,3.98,62.4232,7.54,0.0,403.69000244140625,3.189910979228472,-2.207370360663781,4.13393700114859
1992-04-01,7.4,3.73,62.897,7.48,0.0,414.95001220703125,3.1828275351591495,2.751079773217417,4.141498467815387
1992-05-01,7.6,3.82,63.104,7.39,0.0,415.3500061035156,3.0235988200590036,0.096349251741979,4.14478415898017
1992-06-01,7.8,3.76,63.1363,7.26,0.0,408.1400146484375,3.0147058823529305,-1.7511264288296995,4.145295881476153
1992-07-01,7.7,3.25,63.7176,6.84,0.0,424.2099914550781,3.1571218795888534,3.8618306803876776,4.154460819549085
1992-08-01,7.6,3.3,63.3613,6.59,0.0,414.0299987792969,3.0746705710102518,-2.4290163475819795,4.148853264972454
1992-09-01,7.6,3.22,63.5703,6.42,0.0,417.79998779296875,2.9927007299270114,0.9064387885347568,4.152146380144355
1992-10-01,7.3,3.1,63.9995,6.59,0.0,418.67999267578125,3.279883381924198,0.21040675880256818,4.158875270829154
1992-11-01,7.4,3.09,64.2422,6.87,0.0,431.3500061035156,3.1204644412191396,2.981295217929922,4.162660315627448
1992-12-01,7.4,2.92,64.3507,6.77,0.0,435.7099914550781,2.966714905933454,1.0057025148320269,4.164347811993848
1993-01-01,7.3,3.02,64.5978,6.6,0.0,438.7799987792969,3.2537960954446943,0.7021280908169156,4.168180354481093
1993-02-01,7.1,3.03,64.9089,6.26,0.0,443.3800048828125,3.2467532467532534,1.0429055449634723,4.172984748360418
1993-03-01,7.0,3.07,64.8522,5.98,0.0,451.6700134277344,3.0194104960460155,1.8524653242830476,4.172110834628049
1993-04-01,7.1,2.96,65.0301,5.97,0.0,440.19000244140625,3.1563845050215145,-2.5745396987600264,4.174850239631685
1993-05-01,7.1,3.0,64.784,6.04,0.0,450.19000244140625,3.2211882605583497,2.2463263865183976,4.171058659289805
1993-06-01,7.0,3.04,64.9301,5.96,0.0,450.5299987792969,2.9978586723768963,0.07549434975973471,4.173311306639339
1993-07-01,6.9,3.06,65.1052,5.81,0.0,448.1300048828125,2.8469750889679624,-0.5341285007793978,4.176004423136652
1993-08-01,6.8,3.03,65.0267,5.68,0.0,463.55999755859375,2.840909090909083,3.385244141081636,4.174797954783822
